sequence_number,rtt_ms,bytes_received,status
713,0.217,1400,SUCCESS
714,0.161,28,SUCCESS
715,0.213,1400,SUCCESS
716,0.164,28,SUCCESS
717,0.215,1400,SUCCESS
718,0.149,28,SUCCESS
719,0.204,1400,SUCCESS
720,0.160,28,SUCCESS
721,0.212,1400,SUCCESS
722,0.168,28,SUCCESS
723,0.218,1400,SUCCESS
724,0.168,28,SUCCESS
725,0.219,1400,SUCCESS
726,0.166,28,SUCCESS
727,0.219,1400,SUCCESS
728,0.152,28,SUCCESS
729,0.205,1400,SUCCESS
730,0.162,28,SUCCESS
731,0.224,1400,SUCCESS
732,0.167,28,SUCCESS
733,0.260,1400,SUCCESS
734,0.179,28,SUCCESS
735,0.215,1400,SUCCESS
736,0.177,28,SUCCESS
737,0.216,1400,SUCCESS
738,0.157,28,SUCCESS
739,0.218,1400,SUCCESS
740,0.166,28,SUCCESS
741,0.228,1400,SUCCESS
742,0.169,28,SUCCESS
743,0.206,1400,SUCCESS
744,0.151,28,SUCCESS
745,0.203,1400,SUCCESS
746,0.167,28,SUCCESS
747,0.203,1400,SUCCESS
748,0.157,28,SUCCESS
749,0.211,1400,SUCCESS
750,0.172,28,SUCCESS
751,0.247,1400,SUCCESS
752,0.201,28,SUCCESS
753,0.225,1400,SUCCESS
754,0.176,28,SUCCESS
755,0.213,1400,SUCCESS
756,0.158,28,SUCCESS
757,0.224,1400,SUCCESS
758,0.168,28,SUCCESS
759,0.232,1400,SUCCESS
760,0.175,28,SUCCESS
761,0.213,1400,SUCCESS
762,0.167,28,SUCCESS
763,0.245,1400,SUCCESS
764,0.181,28,SUCCESS
765,0.226,1400,SUCCESS
766,0.208,28,SUCCESS
767,0.230,1400,SUCCESS
768,0.170,28,SUCCESS
769,0.211,1400,SUCCESS
770,0.161,28,SUCCESS
771,0.213,1400,SUCCESS
772,0.173,28,SUCCESS
773,0.215,1400,SUCCESS
774,0.184,28,SUCCESS
775,0.219,1400,SUCCESS
776,0.169,28,SUCCESS
777,0.214,1400,SUCCESS
778,0.161,28,SUCCESS
779,0.205,1400,SUCCESS
780,0.149,28,SUCCESS
781,0.206,1400,SUCCESS
782,0.166,28,SUCCESS
783,0.221,1400,SUCCESS
784,0.204,28,SUCCESS
785,0.238,1400,SUCCESS
786,0.169,28,SUCCESS
787,0.222,1400,SUCCESS
788,0.179,28,SUCCESS
789,0.227,1400,SUCCESS
790,0.173,28,SUCCESS
791,0.219,1400,SUCCESS
792,0.162,28,SUCCESS
793,0.215,1400,SUCCESS
794,0.153,28,SUCCESS
795,0.215,1400,SUCCESS
796,0.149,28,SUCCESS
797,0.211,1400,SUCCESS
798,0.156,28,SUCCESS
799,0.213,1400,SUCCESS
800,0.170,28,SUCCESS
801,0.216,1400,SUCCESS
802,0.169,28,SUCCESS
803,0.212,1400,SUCCESS
804,0.178,28,SUCCESS
805,0.218,1400,SUCCESS
806,0.166,28,SUCCESS
807,0.210,1400,SUCCESS
808,0.152,28,SUCCESS
809,0.218,1400,SUCCESS
810,0.162,28,SUCCESS
811,0.218,1400,SUCCESS
812,0.203,28,SUCCESS
813,0.238,1400,SUCCESS
814,0.180,28,SUCCESS
815,0.224,1400,SUCCESS
816,0.168,28,SUCCESS
817,0.217,1400,SUCCESS
818,0.171,28,SUCCESS
819,0.219,1400,SUCCESS
820,0.166,28,SUCCESS
821,0.202,1400,SUCCESS
822,0.151,28,SUCCESS
823,0.215,1400,SUCCESS
824,0.168,28,SUCCESS
825,0.215,1400,SUCCESS
826,0.151,28,SUCCESS
827,0.214,1400,SUCCESS
828,0.151,28,SUCCESS
829,0.217,1400,SUCCESS
830,0.167,28,SUCCESS
831,0.213,1400,SUCCESS
832,0.156,28,SUCCESS
833,0.213,1400,SUCCESS
834,0.169,28,SUCCESS
835,0.215,1400,SUCCESS
836,0.177,28,SUCCESS
837,0.213,1400,SUCCESS
838,0.174,28,SUCCESS
839,0.221,1400,SUCCESS
840,0.206,28,SUCCESS
841,0.243,1400,SUCCESS
842,0.173,28,SUCCESS
843,0.220,1400,SUCCESS
844,0.172,28,SUCCESS
845,0.231,1400,SUCCESS
846,0.163,28,SUCCESS
847,0.213,1400,SUCCESS
848,0.177,28,SUCCESS
849,0.214,1400,SUCCESS
850,0.170,28,SUCCESS
851,0.216,1400,SUCCESS
852,0.168,28,SUCCESS
853,0.214,1400,SUCCESS
854,0.161,28,SUCCESS
855,0.215,1400,SUCCESS
856,0.163,28,SUCCESS
857,0.218,1400,SUCCESS
858,0.164,28,SUCCESS
859,0.215,1400,SUCCESS
860,0.166,28,SUCCESS
861,0.213,1400,SUCCESS
862,0.170,28,SUCCESS
863,0.221,1400,SUCCESS
864,0.165,28,SUCCESS
865,0.210,1400,SUCCESS
866,0.158,28,SUCCESS
867,0.217,1400,SUCCESS
868,0.197,28,SUCCESS
869,0.236,1400,SUCCESS
870,0.173,28,SUCCESS
871,0.220,1400,SUCCESS
872,0.180,28,SUCCESS
873,0.206,1400,SUCCESS
874,0.149,28,SUCCESS
875,0.203,1400,SUCCESS
876,0.148,28,SUCCESS
877,0.208,1400,SUCCESS
878,0.169,28,SUCCESS
879,0.213,1400,SUCCESS
880,0.149,28,SUCCESS
881,0.214,1400,SUCCESS
882,0.165,28,SUCCESS
883,0.213,1400,SUCCESS
884,0.157,28,SUCCESS
885,0.203,1400,SUCCESS
886,0.149,28,SUCCESS
887,0.213,1400,SUCCESS
888,0.159,28,SUCCESS
889,0.213,1400,SUCCESS
890,0.173,28,SUCCESS
891,0.206,1400,SUCCESS
892,0.163,28,SUCCESS
893,0.210,1400,SUCCESS
894,0.160,28,SUCCESS
895,0.236,1400,SUCCESS
896,0.188,28,SUCCESS
