sequence_number,rtt_ms,bytes_received,status
686,,0,LOST
687,30.283,1400,SUCCESS
688,30.334,28,SUCCESS
689,31.883,1400,SUCCESS
690,31.474,28,SUCCESS
691,34.271,1400,SUCCESS
692,32.721,28,SUCCESS
693,51.718,1400,SUCCESS
694,31.176,28,SUCCESS
695,33.263,1400,SUCCESS
696,30.997,28,SUCCESS
697,,0,LOST
698,31.650,28,SUCCESS
699,32.999,1400,SUCCESS
700,33.670,28,SUCCESS
701,30.976,1400,SUCCESS
702,32.067,28,SUCCESS
703,32.971,1400,SUCCESS
704,30.656,28,SUCCESS
705,,0,LOST
706,31.271,28,SUCCESS
707,31.549,1400,SUCCESS
708,33.096,28,SUCCESS
709,32.213,1400,SUCCESS
710,31.371,28,SUCCESS
711,32.162,1400,SUCCESS
712,31.177,28,SUCCESS
713,32.474,1400,SUCCESS
714,31.177,28,SUCCESS
715,31.807,1400,SUCCESS
716,32.188,28,SUCCESS
717,50.431,1400,SUCCESS
718,31.012,28,SUCCESS
719,31.962,1400,SUCCESS
720,31.098,28,SUCCESS
721,30.700,1400,SUCCESS
722,31.698,28,SUCCESS
723,62.982,1400,SUCCESS
724,32.983,28,SUCCESS
725,32.629,1400,SUCCESS
726,32.175,28,SUCCESS
727,33.998,1400,SUCCESS
728,33.096,28,SUCCESS
729,31.492,1400,SUCCESS
730,32.445,28,SUCCESS
731,31.522,1400,SUCCESS
732,32.633,28,SUCCESS
733,33.625,1400,SUCCESS
734,32.306,28,SUCCESS
735,33.530,1400,SUCCESS
736,31.072,28,SUCCESS
737,32.238,1400,SUCCESS
738,32.454,28,SUCCESS
739,33.498,1400,SUCCESS
740,31.740,28,SUCCESS
741,32.879,1400,SUCCESS
742,,0,LOST
743,31.626,1400,SUCCESS
744,32.553,28,SUCCESS
745,31.400,1400,SUCCESS
746,33.403,28,SUCCESS
747,32.178,1400,SUCCESS
748,31.568,28,SUCCESS
749,31.520,1400,SUCCESS
750,32.595,28,SUCCESS
751,30.308,1400,SUCCESS
752,31.533,28,SUCCESS
753,32.859,1400,SUCCESS
754,,0,LOST
755,,0,LOST
756,32.163,28,SUCCESS
757,31.962,1400,SUCCESS
758,32.761,28,SUCCESS
759,31.827,1400,SUCCESS
760,32.193,28,SUCCESS
761,32.294,1400,SUCCESS
762,30.866,28,SUCCESS
763,33.732,1400,SUCCESS
764,31.242,28,SUCCESS
765,32.817,1400,SUCCESS
766,38.805,28,SUCCESS
767,,0,LOST
768,32.743,28,SUCCESS
769,33.059,1400,SUCCESS
770,,0,LOST
771,32.601,1400,SUCCESS
772,32.330,28,SUCCESS
773,31.415,1400,SUCCESS
774,30.879,28,SUCCESS
775,32.361,1400,SUCCESS
776,,0,LOST
777,34.539,1400,SUCCESS
778,32.239,28,SUCCESS
779,31.573,1400,SUCCESS
780,33.126,28,SUCCESS
781,33.266,1400,SUCCESS
782,32.995,28,SUCCESS
783,62.468,1400,SUCCESS
784,32.110,28,SUCCESS
785,32.513,1400,SUCCESS
786,,0,LOST
787,33.069,1400,SUCCESS
788,,0,LOST
789,,0,LOST
790,49.846,28,SUCCESS
791,33.108,1400,SUCCESS
792,30.031,28,SUCCESS
793,33.127,1400,SUCCESS
794,38.516,28,SUCCESS
795,30.726,1400,SUCCESS
796,31.565,28,SUCCESS
797,33.048,1400,SUCCESS
798,33.767,28,SUCCESS
799,35.193,1400,SUCCESS
800,32.397,28,SUCCESS
801,34.227,1400,SUCCESS
802,30.476,28,SUCCESS
803,31.657,1400,SUCCESS
804,30.991,28,SUCCESS
805,33.320,1400,SUCCESS
806,30.494,28,SUCCESS
807,33.051,1400,SUCCESS
808,,0,LOST
809,32.787,1400,SUCCESS
810,30.740,28,SUCCESS
811,30.853,1400,SUCCESS
812,32.756,28,SUCCESS
813,32.075,1400,SUCCESS
814,31.633,28,SUCCESS
815,32.607,1400,SUCCESS
816,31.015,28,SUCCESS
817,,0,LOST
818,31.069,28,SUCCESS
819,32.487,1400,SUCCESS
820,32.093,28,SUCCESS
821,31.781,1400,SUCCESS
822,32.679,28,SUCCESS
823,,0,LOST
824,32.617,28,SUCCESS
825,33.262,1400,SUCCESS
826,30.989,28,SUCCESS
827,32.707,1400,SUCCESS
828,32.422,28,SUCCESS
829,31.789,1400,SUCCESS
830,33.405,28,SUCCESS
831,32.276,1400,SUCCESS
832,32.178,28,SUCCESS
833,31.707,1400,SUCCESS
834,29.964,28,SUCCESS
835,48.522,1400,SUCCESS
836,30.894,28,SUCCESS
837,32.259,1400,SUCCESS
838,32.696,28,SUCCESS
839,32.450,1400,SUCCESS
840,32.169,28,SUCCESS
841,33.221,1400,SUCCESS
842,,0,LOST
843,32.890,1400,SUCCESS
844,33.542,28,SUCCESS
845,34.605,1400,SUCCESS
846,31.204,28,SUCCESS
847,32.346,1400,SUCCESS
848,33.482,28,SUCCESS
849,32.641,1400,SUCCESS
850,32.645,28,SUCCESS
851,31.599,1400,SUCCESS
852,,0,LOST
853,31.761,1400,SUCCESS
854,62.075,28,SUCCESS
855,31.838,1400,SUCCESS
856,30.737,28,SUCCESS
857,31.342,1400,SUCCESS
858,31.528,28,SUCCESS
859,31.554,1400,SUCCESS
860,31.928,28,SUCCESS
861,31.437,1400,SUCCESS
862,,0,LOST
863,31.438,1400,SUCCESS
864,30.790,28,SUCCESS
865,33.393,1400,SUCCESS
866,32.297,28,SUCCESS
867,33.697,1400,SUCCESS
868,31.350,28,SUCCESS
869,33.835,1400,SUCCESS
870,31.460,28,SUCCESS
871,31.928,1400,SUCCESS
872,31.378,28,SUCCESS
873,33.713,1400,SUCCESS
874,33.327,28,SUCCESS
875,33.326,1400,SUCCESS
876,32.150,28,SUCCESS
877,,0,LOST
878,32.461,28,SUCCESS
879,31.724,1400,SUCCESS
880,31.884,28,SUCCESS
881,32.029,1400,SUCCESS
882,30.347,28,SUCCESS
883,31.191,1400,SUCCESS
884,31.782,28,SUCCESS
885,33.450,1400,SUCCESS
886,62.091,28,SUCCESS
887,32.194,1400,SUCCESS
888,31.487,28,SUCCESS
889,32.803,1400,SUCCESS
890,31.170,28,SUCCESS
891,32.980,1400,SUCCESS
892,31.757,28,SUCCESS
893,52.121,1400,SUCCESS
894,,0,LOST
895,32.125,1400,SUCCESS
896,30.587,28,SUCCESS
897,30.897,1400,SUCCESS
898,,0,LOST
899,,0,LOST
900,,0,LOST
901,33.272,1400,SUCCESS
902,,0,LOST
903,32.955,1400,SUCCESS
904,29.853,28,SUCCESS
905,33.399,1400,SUCCESS
