sequence_number,rtt_ms,bytes_received,status
417,,0,LOST
418,66.279,29,SUCCESS
419,63.619,1328,SUCCESS
420,64.890,29,SUCCESS
421,62.467,1328,SUCCESS
422,62.538,29,SUCCESS
423,65.527,1328,SUCCESS
424,64.548,29,SUCCESS
425,,0,LOST
426,62.544,29,SUCCESS
427,85.300,1328,SUCCESS
428,62.991,29,SUCCESS
429,84.182,1328,SUCCESS
430,81.242,29,SUCCESS
431,63.822,1328,SUCCESS
432,61.145,29,SUCCESS
433,,0,LOST
434,,0,LOST
435,73.227,1328,SUCCESS
436,80.145,29,SUCCESS
437,,0,LOST
438,82.508,29,SUCCESS
439,62.289,1328,SUCCESS
440,61.860,29,SUCCESS
441,,0,LOST
442,63.657,29,SUCCESS
443,,0,LOST
444,62.365,29,SUCCESS
445,65.057,1328,SUCCESS
446,,0,LOST
447,63.233,1328,SUCCESS
448,63.706,29,SUCCESS
449,66.330,1328,SUCCESS
450,65.169,29,SUCCESS
451,62.361,1328,SUCCESS
452,64.460,29,SUCCESS
453,62.644,1328,SUCCESS
454,,0,LOST
455,63.304,1328,SUCCESS
456,63.167,29,SUCCESS
457,84.332,1328,SUCCESS
458,63.923,29,SUCCESS
459,,0,LOST
460,62.070,29,SUCCESS
461,62.384,1328,SUCCESS
462,69.937,29,SUCCESS
463,,0,LOST
464,61.424,29,SUCCESS
465,62.990,1328,SUCCESS
466,63.806,29,SUCCESS
467,63.441,1328,SUCCESS
468,71.052,29,SUCCESS
469,65.071,1328,SUCCESS
470,62.991,29,SUCCESS
471,64.141,1328,SUCCESS
472,,0,LOST
473,,0,LOST
474,93.895,29,SUCCESS
475,,0,LOST
476,62.080,29,SUCCESS
477,64.190,1328,SUCCESS
478,64.127,29,SUCCESS
479,83.643,1328,SUCCESS
480,63.450,29,SUCCESS
481,63.639,1328,SUCCESS
482,63.692,29,SUCCESS
483,63.805,1328,SUCCESS
484,61.624,29,SUCCESS
485,65.365,1328,SUCCESS
486,,0,LOST
487,96.420,1328,SUCCESS
488,,0,LOST
489,,0,LOST
490,64.358,29,SUCCESS
491,66.371,1328,SUCCESS
492,65.035,29,SUCCESS
493,63.374,1328,SUCCESS
494,,0,LOST
495,94.350,1328,SUCCESS
496,62.681,29,SUCCESS
497,,0,LOST
498,61.612,29,SUCCESS
499,64.975,1328,SUCCESS
500,74.687,29,SUCCESS
501,,0,LOST
502,60.050,29,SUCCESS
503,62.061,1328,SUCCESS
504,72.268,29,SUCCESS
505,62.261,1328,SUCCESS
506,,0,LOST
507,65.791,1328,SUCCESS
508,,0,LOST
509,63.928,1328,SUCCESS
510,,0,LOST
511,93.790,1328,SUCCESS
512,62.625,29,SUCCESS
513,64.104,1328,SUCCESS
514,62.200,29,SUCCESS
515,64.674,1328,SUCCESS
516,64.317,29,SUCCESS
517,66.064,1328,SUCCESS
518,,0,LOST
519,63.280,1328,SUCCESS
520,66.490,29,SUCCESS
521,65.721,1328,SUCCESS
522,,0,LOST
523,77.702,1328,SUCCESS
524,62.812,29,SUCCESS
525,62.749,1328,SUCCESS
526,93.132,29,SUCCESS
527,63.385,1328,SUCCESS
528,61.449,29,SUCCESS
529,63.254,1328,SUCCESS
530,62.700,29,SUCCESS
531,64.508,1328,SUCCESS
532,63.022,29,SUCCESS
533,64.732,1328,SUCCESS
534,63.042,29,SUCCESS
535,63.567,1328,SUCCESS
536,61.612,29,SUCCESS
537,64.786,1328,SUCCESS
538,,0,LOST
539,84.435,1328,SUCCESS
540,63.050,29,SUCCESS
541,94.610,1328,SUCCESS
542,,0,LOST
543,,0,LOST
544,63.284,29,SUCCESS
545,66.369,1328,SUCCESS
546,60.946,29,SUCCESS
547,64.712,1328,SUCCESS
548,63.886,29,SUCCESS
549,63.734,1328,SUCCESS
550,62.800,29,SUCCESS
551,63.737,1328,SUCCESS
552,65.190,29,SUCCESS
553,,0,LOST
554,69.908,29,SUCCESS
555,80.611,1328,SUCCESS
556,62.619,29,SUCCESS
