sequence_number,rtt_ms,bytes_received,status
589,0.087,1328,SUCCESS
590,0.087,29,SUCCESS
591,0.093,1328,SUCCESS
592,0.089,29,SUCCESS
593,0.094,1328,SUCCESS
594,0.088,29,SUCCESS
595,0.092,1328,SUCCESS
596,0.086,29,SUCCESS
597,0.093,1328,SUCCESS
598,0.084,29,SUCCESS
599,0.088,1328,SUCCESS
600,0.097,29,SUCCESS
601,0.089,1328,SUCCESS
602,0.084,29,SUCCESS
603,0.092,1328,SUCCESS
604,0.086,29,SUCCESS
605,0.099,1328,SUCCESS
606,0.087,29,SUCCESS
607,0.092,1328,SUCCESS
608,0.086,29,SUCCESS
609,0.092,1328,SUCCESS
610,0.083,29,SUCCESS
611,0.092,1328,SUCCESS
612,0.094,29,SUCCESS
613,0.092,1328,SUCCESS
614,0.086,29,SUCCESS
615,0.091,1328,SUCCESS
616,0.091,29,SUCCESS
617,0.095,1328,SUCCESS
618,0.090,29,SUCCESS
619,0.088,1328,SUCCESS
620,0.091,29,SUCCESS
621,0.096,1328,SUCCESS
622,0.090,29,SUCCESS
623,0.092,1328,SUCCESS
624,0.085,29,SUCCESS
625,0.094,1328,SUCCESS
626,0.087,29,SUCCESS
627,0.094,1328,SUCCESS
628,0.086,29,SUCCESS
629,0.092,1328,SUCCESS
630,0.087,29,SUCCESS
631,0.103,1328,SUCCESS
632,0.090,29,SUCCESS
633,0.093,1328,SUCCESS
634,0.085,29,SUCCESS
635,0.092,1328,SUCCESS
636,0.090,29,SUCCESS
637,0.092,1328,SUCCESS
638,0.086,29,SUCCESS
639,0.088,1328,SUCCESS
640,0.077,29,SUCCESS
641,0.082,1328,SUCCESS
642,0.079,29,SUCCESS
643,0.080,1328,SUCCESS
644,0.075,29,SUCCESS
645,0.094,1328,SUCCESS
646,0.084,29,SUCCESS
647,0.097,1328,SUCCESS
648,0.090,29,SUCCESS
649,0.093,1328,SUCCESS
650,0.090,29,SUCCESS
651,0.093,1328,SUCCESS
652,0.085,29,SUCCESS
653,0.094,1328,SUCCESS
654,0.083,29,SUCCESS
655,0.084,1328,SUCCESS
656,0.079,29,SUCCESS
657,0.105,1328,SUCCESS
658,0.088,29,SUCCESS
659,0.091,1328,SUCCESS
660,0.087,29,SUCCESS
661,0.092,1328,SUCCESS
662,0.084,29,SUCCESS
663,0.095,1328,SUCCESS
664,0.087,29,SUCCESS
665,0.098,1328,SUCCESS
666,0.088,29,SUCCESS
667,0.091,1328,SUCCESS
668,0.093,29,SUCCESS
669,0.093,1328,SUCCESS
670,0.087,29,SUCCESS
671,0.089,1328,SUCCESS
672,0.085,29,SUCCESS
673,0.090,1328,SUCCESS
674,0.091,29,SUCCESS
675,0.092,1328,SUCCESS
676,0.087,29,SUCCESS
677,0.094,1328,SUCCESS
678,0.086,29,SUCCESS
679,0.092,1328,SUCCESS
680,0.090,29,SUCCESS
681,0.091,1328,SUCCESS
682,0.085,29,SUCCESS
683,0.090,1328,SUCCESS
684,0.086,29,SUCCESS
685,0.088,1328,SUCCESS
686,0.082,29,SUCCESS
687,0.089,1328,SUCCESS
688,0.093,29,SUCCESS
689,0.094,1328,SUCCESS
690,0.086,29,SUCCESS
691,0.092,1328,SUCCESS
692,0.086,29,SUCCESS
693,0.093,1328,SUCCESS
694,0.109,29,SUCCESS
695,0.089,1328,SUCCESS
696,0.085,29,SUCCESS
697,0.089,1328,SUCCESS
698,0.083,29,SUCCESS
699,0.096,1328,SUCCESS
700,0.083,29,SUCCESS
701,0.089,1328,SUCCESS
702,0.094,29,SUCCESS
703,0.091,1328,SUCCESS
704,0.087,29,SUCCESS
705,0.097,1328,SUCCESS
706,0.087,29,SUCCESS
707,0.093,1328,SUCCESS
708,0.086,29,SUCCESS
709,0.091,1328,SUCCESS
710,0.087,29,SUCCESS
711,0.091,1328,SUCCESS
712,0.088,29,SUCCESS
713,0.090,1328,SUCCESS
714,0.083,29,SUCCESS
715,0.092,1328,SUCCESS
716,0.083,29,SUCCESS
717,0.099,1328,SUCCESS
718,0.087,29,SUCCESS
719,0.092,1328,SUCCESS
720,0.087,29,SUCCESS
721,0.096,1328,SUCCESS
722,0.083,29,SUCCESS
723,0.088,1328,SUCCESS
724,0.082,29,SUCCESS
725,0.091,1328,SUCCESS
726,0.087,29,SUCCESS
727,0.093,1328,SUCCESS
728,0.089,29,SUCCESS
729,0.092,1328,SUCCESS
730,0.087,29,SUCCESS
731,0.093,1328,SUCCESS
732,0.089,29,SUCCESS
733,0.092,1328,SUCCESS
734,0.088,29,SUCCESS
735,0.090,1328,SUCCESS
736,0.090,29,SUCCESS
737,0.095,1328,SUCCESS
738,0.086,29,SUCCESS
